REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Centro Sur,91,Amazonas,91001,Leticia
Región Eje Cafetero - Antioquia,5,Antioquia,5001,Medellín
Región Llano,81,Arauca,81001,Arauca
Región Caribe,8,Atlántico,8001,Barranquilla
Región Caribe,13,Bolívar,13001,Cartagena
Región Centro Oriente,15,Boyacá,15001,Tunja
Región Eje Cafetero - Antioquia,17,Caldas,17001,Manizales
Región Centro Sur,18,Caquetá,18001,Florencia
Región Llano,85,Casanare,85001,Yopal
Región Pacífico,19,Cauca,19001,Popayán
Región Caribe,20,Cesar,20001,Valledupar
Región Pacífico,27,Chocó,27001,Quibdó
Región Caribe,23,Córdoba,23001,Montería
Región Centro Oriente,11,Bogotá D.C.,11001,Bogotá D.C.
Región Llano,94,Guainía,94001,Inírida
Región Llano,95,Guaviare,95001,San José del Guaviare
Región Centro Sur,41,Huila,41001,Neiva
Región Caribe,44,La Guajira,44001,Riohacha
Región Caribe,47,Magdalena,47001,Santa Marta
Región Llano,50,Meta,50001,Villavicencio
Región Pacífico,52,Nariño,52001,Pasto
Región Centro Oriente,54,Norte de Santander,54001,Cúcuta
Región Centro Sur,86,Putumayo,86001,Mocoa
Región Eje Cafetero - Antioquia,63,Quindío,63001,Armenia
Región Eje Cafetero - Antioquia,66,Risaralda,66001,Pereira
Región Caribe,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",88001,San Andrés
Región Centro Oriente,68,Santander,68001,Bucaramanga
Región Caribe,70,Sucre,70001,Sincelejo
Región Centro Sur,73,Tolima,73001,Ibagué
Región Pacífico,76,Valle del Cauca,76001,Cali
Región Llano,97,Vaupés,97001,Mitú
Región Llano,99,Vichada,99001,Puerto Carreño
