tweet,sentiment
buenos dias me preguntan que cómo sigo les cuento que aqui estoy tirada en la cama con mi amor chiquito me bajó la fiebre pero el dolor de cabeza no tengo mucho miedo porque he estado un poco expuesta ayudando y llevando mercados con la fundación abro hilo,NEUTRAL
cuando tu lugar de trabajo también se convierte en el cuarto de tu hijo ️,NEUTRAL
adivinen a quién me voy a llevar a pasear por el río si ¡al pecuequitas tarzan ️,NEUTRAL
rap en huitoto lengua de la amazonía en leticia amazonas,NEUTRAL
extrañare esto,NEUTRAL
y la verdad es que no me quiero de casa (,NEUTRAL
río amazonas en la triple frontera entre colombia perú y brasil,NEGATIVE
la foto desde el puerto en leticia al frente santa rosa de perú a lo largo y ancho la inmensidad del río amazonas postales del atardecer à amazonas colombia,MIXED
amé aquí pero ya extraño bogotá,NEGATIVE
pues foticos del río no hubo porque tiempo tampoco hubo nos vemos en bogotá,NEGATIVE
así me despido de leticia,NEUTRAL
llegó mi mamála abuelita de neriá ️,NEUTRAL
mi amigo juancho recibiendo su reconocimiento merecido y necesario gracias juancho gracias los yetis ya nos veremos amigo en amazonas con las tres fronteras brasil peru y colombia,NEUTRAL
y fue allí con esa mirada que se dió cuenta que éramos el uno para el otro ⁣oigan cómo más iba a terminar este viaje si no era con una foto de lo más lindo que viví en el amazonas ) en serio es una…,NEUTRAL
en nuestro paso por el amazonas fuimos a visitar 'aldea' una especie de reserva en medio de la selva en el que cuidan y alimentan a los animales en total libertad ️ en amazonas con las tres fronteras …,MIXED
esto ha sido probablemente de mis experiencias más bonitas en colombia sé y les quiero contar que nuestro país tiene muchísimo para ofrecer leticia amazonas un destino si o sí para conocer qué me dicen de mis…,MIXED
salchipapa time,NEUTRAL
yo aqui viendo a en día a día,NEUTRAL
hola amiguetes en este momento estoy en tabatinga la verdad solo he comido en tabatinga lo que son ceviches y arroces lo que re comendamos me metí a un lugar lindo decente y me pedi un pasta de frango sabia al propio vomito cuando vengan no coman en brasil nunca,NEGATIVE
esto ha sido lo más mágico no imaginan️ tienen que presenciarlo todos los días a las 530pm en el parque santander en leticia amazonas colombia,NEGATIVE
"gasto d plata en propagandaclaudia lópez ya me la pelo cada 10 mits con su cuento d ayudaton&dice""ayuda a los q más lo necesitan""ósea a ellaporque ella d su parte lo q' da es bala con su descontrol policial ellos felices cagandosele en su alcaldía&ella se hace la d las",POSITIVE
por primera vez desde el hemisferio sur,POSITIVE
reportando que es demasiado similar al que se presenta en la carta y una delicia,POSITIVE
me quedo perfecta ⚘⚘y lo mejor con la compañía más bella la de mi mamá hermosa,POSITIVE
