id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1250818800527847424,1250818800527847424,1587053415000,2020-04-16,11:10:15,-05,1086020003437182976,letatianosky,Tatiana Solo,Gael Gourmet Pizzaria,"Buenos dias.
Me preguntan que cómo sigo: Les cuento que aqui estoy tirada en la cama con mi amor chiquito. Me bajó la fiebre pero el dolor de cabeza no.Tengo mucho miedo porque he estado un poco expuesta ayudando y llevando mercados con la fundación @gritoamazonico. 
Abro hilo pic.twitter.com/7dq4Ux3R84",['gritoamazonico'],[],['https://pbs.twimg.com/media/EVvNDJdWAAAFIlV.jpg'],46,18,307,[],[],https://twitter.com/letatianosky/status/1250818800527847424,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '1086020003437182976', 'username': 'letatianosky'}, {'user_id': '1185072234622341121', 'username': 'gritoamazonico'}]",,,,
1233453945739268098,1233453945739268098,1582913311000,2020-02-28,13:08:31,-05,1086020003437182976,letatianosky,Tatiana Solo,Rio Amazonas,"Cuando tu lugar de trabajo también se convierte en el cuarto de tu hijo.
#Junglelife
@lakurupira
🌳🐵⚡🌱🐒❤️👶🏻 pic.twitter.com/hrvo6LN5yD",['lakurupira'],[],"['https://pbs.twimg.com/media/ER4bx7VXUAAsyHO.jpg', 'https://pbs.twimg.com/media/ER4bzJmXkAAvxBi.jpg']",7,2,72,['#junglelife'],[],https://twitter.com/letatianosky/status/1233453945739268098,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '1086020003437182976', 'username': 'letatianosky'}, {'user_id': '226979266', 'username': 'lakurupira'}]",,,,
1230917806532780032,1230917806532780032,1582308649000,2020-02-21,13:10:49,-05,1086020003437182976,letatianosky,Tatiana Solo,Rio Amazonas,"Adivinen a quién me voy a llevar a pasear por el río? Si, ¡Al pecuequitas tarzan!
#Junglelife
🦜🌱⚡🌳🐒❤️ pic.twitter.com/UQxec4fluG",[],[],['https://pbs.twimg.com/media/ERUZLiIX0AAW5dB.jpg'],8,0,76,['#junglelife'],[],https://twitter.com/letatianosky/status/1230917806532780032,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '1086020003437182976', 'username': 'letatianosky'}]",,,,
1222095082062479360,1222095082062479360,1580205147000,2020-01-28,04:52:27,-05,938159882,juanpabloriosc,Juan Pablo Ríos,"Leticia, Colombia","Rap en huitoto, lengua de la Amazonía. #rap #filmmaker #video en Leticia, Amazonas  https://www.instagram.com/p/B72-Oi1JRts/?igshid=cid5r0cuf5uc …",[],['https://www.instagram.com/p/B72-Oi1JRts/?igshid=cid5r0cuf5uc'],[],0,1,2,"['#rap', '#filmmaker', '#video']",[],https://twitter.com/juanpabloriosc/status/1222095082062479360,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '938159882', 'username': 'juanpabloriosc'}]",,,,
1220188736476061697,1220188736476061697,1579750639000,2020-01-22,22:37:19,-05,377077320,juancho17_,Juaneco En Cuarentena 2T,Rio Amazonas,Extrañare esto. pic.twitter.com/KaSwsOLRdP,[],[],['https://pbs.twimg.com/media/EO77K_PXUAUgWdY.jpg'],1,0,5,[],[],https://twitter.com/Juancho17_/status/1220188736476061697,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '377077320', 'username': 'Juancho17_'}]",,,,
1219290593173606400,1219290593173606400,1579536505000,2020-01-20,11:08:25,-05,1106772114495991808,mcbuelvasm,𝔪 𝔞 𝔯 𝔦 𝔞 𝔠. 🦔,Aeropuerto Internacional Alfredo Vásquez Cobo (LET),Y la verdad es que no me quiero de casa :( pic.twitter.com/qooImX4Rfp,[],[],"['https://pbs.twimg.com/media/EOvKQRzWkAAUOYY.jpg', 'https://pbs.twimg.com/media/EOvKSxTWoAAkOR9.jpg']",0,0,16,[],[],https://twitter.com/mcbuelvasm/status/1219290593173606400,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '1106772114495991808', 'username': 'mcbuelvasm'}]",,,,
1211720855929212931,1211720855929212931,1577731739000,2019-12-30,13:48:59,-05,106230601,daniel_vasquezt,Daniel Vasquez,Rio Amazonas,"Río Amazonas en la triple frontera entre Colombia, Perú y Brasil 🇨🇴 🇵🇪 🇧🇷 pic.twitter.com/mCMSULZlN1",[],[],['https://pbs.twimg.com/media/ENDlsUZXkAECXPz.jpg'],1,0,46,[],[],https://twitter.com/Daniel_VasquezT/status/1211720855929212931,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '106230601', 'username': 'Daniel_VasquezT'}]",,,,
1211407646558810112,1211407646558810112,1577657064000,2019-12-29,17:04:24,-05,79022393,natygiraldo7,Natalia Giraldo G.,"Leticia, Colombia","La foto desde el puerto en Leticia, al frente Santa Rosa de Perú, a lo largo y ancho la inmensidad del río amazonas.
Postales del atardecer 🌿🌍💧 à Amazonas, Colombia  https://www.instagram.com/p/B6rCRv3F910/?igshid=1q9prxjscpbso …",[],['https://www.instagram.com/p/B6rCRv3F910/?igshid=1q9prxjscpbso'],[],0,0,6,[],[],https://twitter.com/NatyGiraldo7/status/1211407646558810112,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '79022393', 'username': 'NatyGiraldo7'}]",,,,
1204285336127447041,1204285336127447041,1575958973000,2019-12-10,01:22:53,-05,1056725121845682176,_dilanmartinez_,☞ ᴅ ɪ ʟ ᴀ ɴ ☜,Aeropuerto Internacional Alfredo Vásquez Cobo (LET),Amé aquí pero ya extraño Bogotá 😭,[],[],[],0,0,15,[],[],https://twitter.com/_DilanMartinez_/status/1204285336127447041,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '1056725121845682176', 'username': '_DilanMartinez_'}]",,,,
1189945813213958144,1189945813213958144,1572540164000,2019-10-31,11:42:44,-05,256693041,lylyflower2007,Liliana Flórez Ríos,Aeropuerto Internacional Alfredo Vásquez Cobo (LET),Pues foticos del río no hubo porque tiempo tampoco hubo. Nos vemos en Bogotá. pic.twitter.com/KJyCClsUrL,[],[],"['https://pbs.twimg.com/media/EIOJYfLWsAE1lit.jpg', 'https://pbs.twimg.com/media/EIOJZauWwAASeJv.jpg']",2,1,20,[],[],https://twitter.com/lylyflower2007/status/1189945813213958144,False,,0,,"-4.2,-69.94,2.9698832075302897km",,,,,"[{'user_id': '256693041', 'username': 'lylyflower2007'}]",,,,
